battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
903,0,1.0,1,2,0,35,0.9,103,2,5,277,1423,1888,5,10,14,1,0,1,1
651,1,1.2,1,6,0,34,0.5,123,5,4,1772,1644,453,5,13,6,0,0,1,1
553,1,0.8,1,0,0,27,0.5,136,1,16,1711,1782,2660,5,15,2,0,0,0,2
1643,1,2.2,0,10,1,3,0.3,175,3,1,52,909,2310,18,14,6,1,0,1,1
1127,1,2.9,0,5,1,62,0.4,95,3,17,1884,809,3883,9,14,15,0,1,0,3
1086,1,1.2,0,19,1,24,0.1,175,1,9,1033,567,3659,10,2,12,1,0,1,2
1943,1,1.7,0,2,0,42,0.7,188,5,9,1681,613,774,16,6,3,0,0,1,2
1945,0,2.1,1,18,1,23,0.3,180,7,5,1762,719,2497,10,11,19,1,0,0,3
603,0,3.0,0,1,0,59,0.4,199,1,11,747,719,2619,10,2,16,0,1,0,1
753,0,0.8,1,17,0,35,0.8,179,7,16,463,1996,1280,13,9,15,1,1,0,0
1750,1,1.7,0,11,0,61,0.4,100,4,12,753,1229,1341,5,7,14,0,0,1,1
1635,1,1.5,1,9,1,16,0.3,190,1,19,1840,1248,2646,14,15,3,0,1,1,3
1009,1,2.7,0,4,1,11,0.3,155,7,15,582,1442,2904,10,15,9,1,0,0,1
1996,1,1.7,1,8,0,16,0.8,130,5,9,157,885,1297,17,11,18,0,1,1,1
598,1,0.8,0,1,1,43,0.2,100,7,1,18,1821,875,12,4,16,0,0,0,0
652,1,2.1,1,1,1,30,0.5,139,1,1,54,1429,3974,12,5,15,1,1,0,1
1413,0,2.4,0,5,0,58,0.6,130,2,6,1750,1776,1650,16,5,4,1,0,1,2
1377,0,0.5,1,9,0,24,0.7,100,6,5,720,904,3125,7,7,18,0,0,1,2
837,1,2.6,1,17,1,60,0.7,186,1,0,1044,991,3906,17,16,4,1,1,1,2
1321,0,1.0,0,11,0,18,0.8,196,6,11,1305,856,3932,9,11,14,0,1,1,3
1686,1,1.9,1,3,0,61,0.1,85,1,12,760,1951,3977,14,13,19,1,1,1,2
1456,0,1.5,0,16,1,10,0.4,152,5,11,1563,714,1850,8,1,2,1,1,1,2
660,1,2.3,0,14,1,51,0.4,144,4,18,1018,1903,1978,16,5,8,1,0,1,1
1300,1,1.4,0,5,0,37,0.2,155,4,8,1958,1251,490,5,17,6,1,0,0,2
897,0,2.7,1,15,1,10,0.4,137,6,9,1440,1326,3396,13,3,3,0,0,0,2
1800,0,2.3,1,16,0,17,0.4,157,5,16,807,1737,702,9,4,18,1,0,1,1
1315,1,2.1,0,2,0,37,0.6,85,7,17,722,1621,865,6,5,11,0,0,0,1
1915,1,2.5,0,9,1,49,0.7,144,5,7,284,1027,263,16,14,5,0,0,0,1
1658,0,2.4,1,4,0,52,0.4,165,5,6,1555,1415,717,6,5,10,0,0,0,2
1718,0,0.6,1,13,0,34,0.7,113,2,8,1555,1165,1255,15,7,12,0,0,0,2
900,1,1.5,1,12,0,56,0.4,135,3,9,510,1209,1590,11,8,13,0,1,1,1
1139,0,2.8,0,5,1,32,0.4,154,1,11,1865,1034,389,8,5,13,1,0,0,1
1556,1,0.8,0,11,1,7,0.6,82,5,14,1021,1053,2688,5,1,19,1,1,0,2
1187,1,2.3,0,7,1,11,0.1,121,5,14,1419,827,311,9,15,5,0,1,1,1
959,1,2.9,0,4,0,17,0.2,141,5,3,119,1401,1248,6,0,10,0,1,0,0
1454,1,0.6,0,14,0,5,0.5,85,4,3,96,1688,1639,11,15,9,1,1,0,1
969,0,2.2,1,15,1,55,0.9,85,5,0,119,1639,2250,13,0,14,0,0,1,1
1898,0,1.7,0,0,1,23,0.7,142,1,11,1560,649,3441,17,0,3,1,1,0,3
1545,0,1.9,1,15,1,14,0.2,99,7,1,1176,1555,1367,5,6,15,0,0,1,2
1249,0,0.7,1,4,0,17,0.9,100,7,14,1268,1156,2441,16,15,6,1,0,1,2
537,0,0.6,0,2,1,53,0.8,81,5,16,1795,1305,3435,6,16,11,1,1,1,2
729,0,2.2,1,19,0,63,0.6,169,1,6,1539,792,1779,15,15,18,0,0,0,1
1888,0,2.6,0,14,1,30,0.8,174,2,5,392,1418,2838,10,15,17,1,0,0,2
1062,1,2.5,1,12,0,7,0.5,169,7,11,1166,1188,399,12,5,18,0,1,1,1
937,0,1.9,0,15,0,27,0.3,135,3,18,1527,1456,3172,11,17,2,1,1,1,2
1806,0,0.7,0,10,1,12,0.6,175,4,0,793,1700,2959,13,2,16,1,0,1,2
526,1,2.2,1,1,0,25,0.6,89,1,13,1870,1584,2359,18,7,18,0,0,0,2
725,0,1.1,0,5,1,30,0.6,166,7,3,1881,915,875,6,3,12,1,0,0,1
1800,0,2.8,1,5,0,4,0.6,149,7,4,219,1906,2142,16,3,6,1,0,1,1
1297,1,2.6,0,13,0,53,1.0,102,6,0,838,1097,1285,13,16,5,0,1,0,1
783,0,2.3,0,10,1,11,0.9,171,2,0,159,506,2845,8,4,10,1,1,0,1
1378,0,2.9,0,7,0,62,0.9,192,3,5,1099,1417,2750,15,13,17,0,1,1,2
1459,0,0.6,1,7,1,61,0.8,109,3,4,610,584,2276,7,14,13,0,1,0,1
952,1,2.3,1,0,1,63,0.9,157,3,1,1715,1273,1664,11,11,19,1,0,0,2
1519,0,1.3,0,6,1,2,0.2,116,1,4,638,1456,3634,9,12,4,0,1,1,2
1315,0,2.8,1,5,0,53,0.3,134,2,8,1055,1921,3177,17,17,16,1,0,0,2
1158,1,1.2,0,7,0,44,0.5,175,5,18,776,1916,894,9,13,19,1,0,0,1
1046,0,2.3,1,18,0,27,0.9,128,6,14,333,1570,3629,16,6,13,0,1,0,1
1715,1,2.7,1,19,1,59,0.6,113,2,12,1548,1864,1912,17,5,14,1,0,1,2
1572,1,0.6,0,7,1,13,0.8,184,2,11,1463,1105,3732,6,4,2,1,0,0,3
516,0,1.5,0,13,0,15,0.2,123,7,4,891,925,2914,10,3,5,1,0,0,1
1695,1,2.4,0,17,0,26,0.3,194,2,1,939,925,1092,10,17,9,0,1,0,1
1743,1,1.6,0,15,1,9,0.8,101,1,3,351,1235,1841,16,13,6,0,0,0,1
657,0,1.2,0,8,0,44,0.2,110,6,17,1362,1290,1035,8,15,12,1,0,0,1
976,1,1.0,1,14,1,5,0.4,86,1,9,925,1014,1092,9,13,18,0,0,1,1
1569,1,0.8,1,9,0,29,0.3,184,6,12,1423,1652,2813,11,4,18,1,0,0,2
1896,0,2.6,0,15,1,8,0.4,100,6,11,395,1772,3400,18,10,3,1,1,1,2
1017,0,1.9,0,3,0,11,0.7,95,7,1,1225,1240,3115,12,11,2,0,1,0,2
598,0,0.7,0,19,0,52,0.4,99,1,14,529,630,2867,10,17,5,0,0,1,1
1560,1,1.5,1,12,1,58,0.6,122,6,13,1932,822,520,9,3,10,0,0,1,2
779,0,1.4,0,4,1,59,0.2,123,2,9,1116,1322,3554,16,12,3,1,0,0,2
1872,1,1.0,0,6,1,37,0.8,126,1,7,1815,1042,1472,7,12,4,0,1,1,2
996,1,1.6,1,8,0,3,0.4,193,6,14,357,565,1653,11,3,7,1,1,0,1
801,1,1.3,1,7,1,27,0.7,98,3,12,1419,1217,2313,12,6,14,1,0,1,2
680,1,1.4,1,15,1,54,0.8,127,1,7,827,1624,557,7,1,16,1,0,0,0
1106,1,2.3,1,5,0,51,0.3,175,7,13,59,530,3686,9,17,12,0,1,0,1
1622,1,1.1,0,15,1,15,0.9,158,4,0,476,1384,2233,15,5,11,0,0,0,1
1199,1,2.1,1,5,1,59,0.7,148,1,12,1749,690,1060,6,15,4,0,1,0,2
1492,0,1.9,1,13,1,17,0.5,90,1,7,611,914,1331,14,2,10,1,0,1,1
1639,0,1.9,0,0,0,55,0.3,158,1,17,0,1246,2031,14,14,11,1,0,0,1
690,1,2.2,0,8,0,44,0.9,108,6,8,1578,1569,354,16,9,13,0,0,0,1
752,1,1.9,0,12,0,43,0.8,193,1,12,310,1612,2896,8,8,9,0,0,0,1
1480,0,2.7,1,18,1,18,0.3,124,4,2,167,874,3340,16,10,18,0,1,1,2
1427,1,2.2,0,16,0,47,0.4,147,5,17,191,1769,1669,8,13,6,0,1,0,1
1684,0,1.9,1,10,1,23,0.8,192,1,9,1057,1057,2233,16,11,9,0,1,1,2
1779,0,2.6,1,7,1,5,0.7,115,3,4,1057,1780,612,17,6,19,0,0,1,1
1846,0,2.0,1,4,1,20,0.8,127,4,5,1711,1875,1919,12,10,12,0,0,0,3
627,1,1.2,0,9,0,3,0.5,166,5,7,1440,1628,3231,7,16,11,0,1,1,2
517,1,1.0,1,6,0,40,0.7,94,6,6,707,1860,266,9,8,16,0,1,0,0
1065,0,0.9,0,9,1,10,0.4,189,1,17,1181,1824,336,15,12,7,1,0,1,1
1069,0,2.7,0,3,1,61,0.3,123,5,13,1780,1600,3588,9,15,18,0,1,0,3
1846,0,2.3,0,8,0,20,0.7,146,3,14,1523,1753,2309,6,2,11,0,0,0,3
1185,0,2.8,1,13,0,17,1.0,175,4,9,365,1077,3785,13,4,6,1,1,0,2
1125,0,2.0,1,1,0,55,0.4,153,4,11,1363,531,2676,8,16,17,1,0,1,2
1811,1,1.7,1,8,1,26,0.5,119,6,6,857,557,2784,13,0,13,1,0,1,2
1353,0,0.6,0,0,0,49,0.7,181,6,6,1358,1627,477,13,8,6,1,1,1,1
1461,1,2.2,1,9,0,19,0.6,165,6,10,1606,811,2196,6,16,2,1,1,1,2
654,0,2.0,1,9,0,24,0.9,93,5,12,326,1590,3408,13,12,3,1,0,0,1
989,1,3.0,1,19,1,54,0.8,142,1,14,113,1189,2202,13,14,6,1,0,0,1
1909,1,1.1,1,2,0,22,0.2,160,2,17,796,1897,770,6,7,16,0,1,1,1
1284,1,1.8,1,5,1,12,1.0,164,4,6,918,734,3387,15,7,2,0,0,1,2
1627,1,2.1,0,5,1,40,0.8,130,2,5,1441,1142,476,17,1,12,0,1,1,2
1916,1,2.1,0,1,1,42,0.9,191,7,10,1491,1635,2652,10,9,19,1,0,1,3
745,1,1.9,0,17,0,5,0.7,158,4,7,1166,1912,3888,13,4,4,0,1,0,2
1699,0,2.4,0,1,0,26,0.9,137,6,19,608,1931,483,8,15,10,1,0,0,1
1562,1,1.0,1,11,0,33,0.2,94,1,0,308,1577,2593,6,0,5,0,0,0,1
1258,0,2.3,0,4,1,31,0.4,144,1,7,400,1301,548,11,12,14,1,0,1,0
1037,1,2.0,1,19,0,46,0.9,167,4,7,1343,738,3113,13,3,10,0,0,1,2
1420,1,2.7,0,6,1,60,0.3,134,5,18,211,1818,3520,10,6,4,0,0,1,2
907,0,2.6,0,15,0,27,0.2,198,7,2,316,611,1211,15,0,17,0,0,1,0
1024,1,1.3,0,19,0,58,0.8,155,6,4,184,1611,1753,15,1,9,0,0,0,1
1327,0,1.2,1,0,0,62,0.9,89,1,2,1228,975,1536,18,15,8,0,1,0,2
1402,0,3.0,1,0,0,37,0.2,189,7,14,1387,803,2234,8,13,18,0,1,1,2
535,0,1.8,0,16,1,52,0.9,185,7,13,1239,1828,1785,5,4,17,0,0,0,1
1184,0,2.8,1,0,1,35,0.7,121,1,14,245,789,643,8,13,19,1,1,0,0
519,1,0.9,0,19,1,10,0.6,195,3,16,238,707,2918,7,16,17,1,1,0,1
820,1,2.1,0,12,1,13,0.8,174,7,17,1828,1367,3725,11,11,16,0,0,0,3
1011,0,2.5,0,8,0,3,0.5,90,1,1,1414,1081,2669,15,11,3,0,1,1,2
899,1,2.9,1,14,1,39,0.3,197,3,11,519,869,2961,17,2,5,0,0,0,1
1153,1,1.3,0,2,1,6,0.4,95,1,15,1613,719,2593,15,1,6,0,1,0,2
1471,0,2.3,0,13,1,63,0.6,152,1,3,1859,1754,3636,14,14,8,1,1,0,3
970,1,1.8,0,10,0,6,0.6,190,7,1,276,1301,3605,9,10,16,1,1,0,1
1666,0,0.7,1,11,1,53,0.8,157,5,13,1005,1318,3791,16,9,18,0,0,1,3
1615,0,2.2,0,12,1,23,0.8,98,5,10,201,848,444,7,17,11,0,1,0,0
1877,1,2.2,1,12,0,6,0.6,110,6,12,213,754,1173,18,1,10,0,0,0,1
1333,1,2.8,0,0,0,60,0.8,152,1,6,605,951,1457,6,6,17,0,0,1,1
1226,1,1.7,1,9,1,5,0.3,179,6,9,477,641,3855,17,6,4,1,1,1,2
1353,0,1.1,0,2,1,62,0.1,132,6,0,507,1592,1179,6,6,10,1,0,1,1
550,0,0.6,0,3,0,10,0.9,182,6,3,1098,588,3291,9,13,9,1,0,1,2
1074,1,1.5,1,15,1,30,0.2,197,6,17,668,1370,2678,17,1,8,1,1,1,1
1713,1,1.3,1,7,0,23,0.3,169,4,5,664,1659,1877,17,1,18,0,0,1,2
1648,1,2.4,0,15,1,28,0.7,87,7,1,141,1022,1015,12,14,6,1,1,0,1
649,1,1.4,1,16,1,11,0.5,103,7,2,1613,1159,1733,12,10,8,0,1,0,1
813,0,2.9,0,18,1,17,0.9,87,4,13,321,1450,2520,18,9,14,1,0,1,1
1069,1,2.9,0,14,1,43,0.4,162,1,7,1717,1409,1321,16,2,19,1,1,0,2
1865,0,2.1,0,15,1,62,0.1,190,4,15,460,941,449,9,16,15,0,1,0,1
804,0,2.8,1,14,0,43,0.4,127,1,18,706,537,1606,17,8,19,1,0,0,1
1181,1,2.4,0,1,0,62,0.6,109,5,17,669,1731,1652,6,14,4,0,0,0,1
1337,1,1.9,1,10,1,52,0.4,137,7,5,1169,709,1744,17,13,18,0,0,0,2
1577,1,1.0,0,0,1,11,0.6,165,2,13,53,1012,418,8,16,8,0,0,1,0
1502,0,1.6,1,14,1,7,0.9,134,3,2,1379,1883,531,11,16,5,0,1,0,1
943,1,1.9,1,18,0,63,0.9,152,7,15,276,1524,619,18,15,16,0,1,0,0
1112,1,2.7,0,3,0,50,0.3,141,4,0,1844,1480,1921,10,7,9,1,1,1,2
1492,0,1.7,1,10,0,6,0.5,187,4,11,1618,880,3078,14,6,17,1,1,0,3
763,1,2.7,0,4,0,59,0.6,127,5,13,399,1327,2783,11,11,2,0,1,0,1
1576,0,2.2,0,2,0,7,1.0,83,4,18,667,1358,2992,9,0,17,0,0,0,2
1503,1,0.8,0,12,0,60,1.0,116,1,18,515,893,2258,6,11,3,0,1,0,1
504,0,3.0,0,9,0,57,0.3,87,1,8,1522,1573,715,12,5,3,0,1,0,1
1626,1,1.8,0,10,0,60,0.8,80,2,6,1334,895,3592,18,15,9,1,1,0,3
1719,1,1.5,1,17,1,48,0.4,171,2,13,1294,531,2842,16,17,13,0,1,1,2
1273,0,2.1,0,1,0,26,0.1,149,7,4,575,1044,3277,6,2,12,1,0,0,2
1376,0,0.8,1,6,0,60,0.1,126,2,17,1472,1211,3713,16,2,7,1,0,1,3
1491,1,2.1,1,8,0,52,0.5,179,1,8,111,1757,2388,12,4,19,0,0,1,1
1383,0,1.7,0,9,0,51,0.5,196,6,6,238,1549,1987,11,2,6,1,1,0,1
1873,0,1.5,1,17,1,62,0.1,154,6,8,1167,1957,1595,7,4,16,0,1,0,2
546,0,2.9,0,6,0,5,0.7,84,2,3,1397,1584,2546,17,13,9,0,1,0,1
1366,0,1.8,1,6,1,41,0.4,129,2,16,1043,1052,3796,8,15,7,1,0,1,2
1322,1,1.0,1,2,1,60,0.6,103,1,11,1599,1964,3183,17,0,13,0,1,1,3
1435,1,1.6,1,11,1,49,0.4,126,5,5,1312,1653,1621,11,16,13,0,0,1,2
1155,0,2.8,0,6,0,33,0.3,97,7,17,1616,1877,3504,8,10,13,1,1,0,3
768,0,0.9,1,16,0,57,0.5,163,4,7,196,697,3457,13,8,10,1,0,1,1
869,0,1.0,0,0,0,52,0.3,107,7,14,381,1298,912,11,3,11,1,0,0,0
1135,0,0.5,1,4,1,53,0.6,156,3,2,1604,1193,1362,5,1,18,0,1,0,2
1629,1,0.5,1,15,1,36,0.3,84,6,1,1721,1894,1639,5,8,19,1,1,1,2
1156,1,2.6,1,14,1,11,0.6,109,6,8,1702,646,2391,8,4,17,1,0,1,2
619,0,2.3,1,1,1,35,0.2,80,1,7,1740,997,3859,18,3,5,1,0,0,2
1330,0,1.4,0,8,0,37,0.7,165,7,3,1515,547,997,18,4,19,1,0,1,2
1581,0,2.2,0,6,0,7,0.8,161,1,1,163,1269,2251,17,17,4,0,0,1,1
1869,1,1.5,1,3,0,44,0.2,125,3,13,605,1150,3288,13,12,17,1,0,0,2
1240,0,2.9,1,19,1,47,0.5,148,7,1,1272,1695,3965,17,4,15,1,1,1,2
1997,1,2.9,0,17,1,17,0.2,110,3,1,1091,1112,2774,8,2,10,0,0,1,2
616,0,1.5,0,3,0,60,0.6,149,2,6,854,1198,1777,17,17,7,1,1,0,1
1290,1,2.6,0,12,0,54,0.3,170,7,11,1044,1838,3834,9,5,5,1,1,0,2
1650,0,2.4,0,0,1,20,0.6,135,3,5,830,875,3681,5,5,3,0,1,1,2
1916,1,1.3,1,2,0,35,0.6,168,4,17,1535,1305,2719,18,4,11,0,1,1,3
1512,0,1.1,1,15,0,26,0.9,172,4,3,596,1420,3378,6,0,12,0,1,1,2
1581,0,1.6,0,3,1,32,0.6,107,6,18,1413,1374,1879,15,7,8,0,0,0,2
1133,0,2.5,0,15,1,50,0.6,95,4,12,535,1309,937,8,0,6,0,1,1,1
1012,1,2.9,0,18,1,42,0.5,133,7,19,110,1943,3390,16,5,5,1,0,0,1
1301,0,2.4,0,0,0,18,1.0,132,4,1,948,1404,1368,8,13,7,1,1,0,1
1619,1,2.6,0,4,1,48,0.8,91,4,7,862,1919,1980,15,10,3,1,0,0,2
1641,1,2.0,0,18,0,31,0.4,99,2,18,594,1710,3517,14,1,3,1,1,0,2
1059,0,2.6,1,10,0,40,0.9,161,6,8,1893,1505,1154,10,3,17,0,0,1,2
987,0,2.5,1,12,1,55,0.5,113,1,3,1021,532,856,17,12,14,0,0,1,1
1760,0,1.4,1,19,0,56,0.8,198,6,15,459,568,3675,10,6,8,0,0,1,2
1396,1,1.9,0,4,1,32,0.8,132,6,18,1101,1091,2123,12,5,6,1,1,1,2
1795,0,2.5,0,3,1,20,0.3,143,6,9,433,1714,3865,16,2,18,0,0,1,2
1712,1,0.6,0,3,0,63,0.7,102,3,5,1403,600,1455,17,8,14,0,1,0,2
1203,1,2.5,1,3,0,36,0.4,188,1,15,1675,1808,3691,13,13,16,1,1,0,3
1970,0,0.9,0,3,1,30,0.4,106,3,9,1463,1413,3079,18,10,4,0,0,1,3
1080,0,1.8,0,19,1,60,0.4,192,2,12,887,1232,3204,5,4,5,0,1,1,2
1289,0,2.5,1,17,1,2,0.8,96,2,8,782,889,3881,5,13,16,1,1,1,2
1360,0,1.1,0,17,1,5,0.3,127,5,6,1362,659,738,10,7,19,1,1,1,1
746,0,1.1,1,15,1,29,0.1,100,5,3,987,1391,2266,8,6,4,0,1,0,1
1599,0,1.5,1,8,1,19,0.7,129,2,18,1447,1570,1398,15,6,8,1,0,1,2
653,1,2.7,0,17,0,27,0.3,119,2,3,168,1682,424,8,2,9,0,1,0,0
1958,1,0.5,1,1,0,41,0.2,174,3,18,708,1969,3947,5,2,12,1,0,0,3
1496,1,2.8,0,3,0,20,0.3,82,2,18,964,1195,2277,13,17,10,1,1,1,2
1609,0,0.9,1,11,0,56,0.4,96,7,11,1285,1257,2450,16,12,13,1,0,0,2
1196,1,3.0,0,6,1,56,0.5,140,1,12,726,1022,3764,15,0,6,1,0,1,2
1808,1,2.9,1,14,0,61,0.1,129,3,3,1602,1231,694,7,4,2,0,1,0,2
1743,1,1.7,0,6,0,58,1.0,169,2,9,228,654,3191,9,3,15,0,1,0,2
1592,1,1.8,1,16,1,7,0.7,166,3,6,1184,838,3516,14,15,4,0,1,0,3
1570,1,1.7,1,15,0,2,0.4,85,3,4,426,1888,415,5,14,16,1,1,0,1
1508,0,2.1,1,18,1,9,0.4,107,4,16,121,1294,1069,12,17,11,0,1,0,1
593,0,0.7,0,8,1,34,0.5,151,5,17,148,1671,2705,7,16,11,1,0,1,1
1457,1,0.6,0,13,1,52,0.7,134,3,10,851,1398,841,18,13,4,0,0,0,1
1511,1,0.6,1,16,1,44,0.2,137,6,14,704,1667,1119,5,13,7,1,0,1,1
952,1,1.6,0,4,1,22,0.3,124,7,6,1766,602,1297,14,5,6,1,1,1,2
1727,0,1.2,1,1,0,25,0.9,151,7,17,110,1311,395,10,12,15,1,1,0,0
1411,0,2.1,0,19,0,26,0.3,98,3,5,1680,592,1394,5,17,18,0,1,1,2
717,1,3.0,1,15,0,48,0.4,181,6,17,1244,1474,583,7,14,13,0,0,0,1
973,0,1.5,0,13,1,56,0.9,108,7,15,1927,1809,480,9,6,10,0,1,1,1
931,0,1.9,1,13,0,58,0.7,102,4,1,63,1947,813,8,16,4,0,0,1,0
840,1,1.5,1,0,0,44,0.4,190,2,18,637,618,2742,11,8,19,1,0,0,1
1050,0,2.6,1,2,0,20,0.7,111,3,0,1753,528,1829,10,10,5,1,1,1,2
1812,0,2.8,1,6,0,30,0.1,89,4,10,1819,1512,1997,16,4,15,1,0,1,3
1777,1,2.7,0,14,1,54,0.8,170,1,19,1377,1553,641,7,1,7,1,0,1,2
856,0,2.9,1,18,0,11,0.5,128,4,4,1497,1371,776,15,14,16,0,0,0,1
522,0,0.6,0,19,1,57,0.8,144,5,15,908,1889,1532,12,11,18,0,1,1,1
1021,1,2.6,0,1,1,13,1.0,182,5,0,1771,1299,2923,12,9,6,1,0,1,2
1623,0,2.4,1,18,0,34,0.9,108,2,18,1508,1661,1377,18,9,7,0,1,0,2
1301,0,1.1,0,8,1,57,0.9,138,6,13,12,974,3090,6,10,6,1,1,1,1
1703,1,2.9,0,18,1,8,0.6,124,2,2,933,1062,3398,11,9,15,1,0,0,2
1746,1,0.9,0,4,1,18,0.4,146,7,1,1176,1915,2854,18,6,5,1,1,1,2
1261,1,2.2,1,17,1,62,0.5,130,6,4,238,934,2089,5,13,6,0,0,1,1
941,0,1.1,0,15,1,62,0.7,190,6,16,1213,1303,702,6,12,12,1,1,1,1
1268,1,1.6,0,3,1,59,0.9,180,6,17,662,1757,3417,12,4,3,0,1,0,2
1515,0,2.3,1,11,1,61,0.3,174,6,0,1109,554,3757,16,9,3,1,1,1,2
1848,1,1.9,1,6,0,11,0.9,90,5,14,1044,1430,1498,5,7,13,0,1,0,2
1015,0,1.6,0,13,0,32,0.8,165,7,8,693,1815,362,6,17,17,0,1,0,0
1539,1,1.3,1,11,1,61,1.0,161,5,4,1342,1251,1755,16,0,18,1,1,1,2
1291,1,2.6,0,2,1,7,0.9,178,3,12,1181,811,3219,5,4,5,1,1,1,2
835,1,0.9,0,4,0,18,0.4,85,7,18,970,1612,1733,9,10,15,0,0,0,1
757,1,1.6,0,16,0,51,0.2,146,5,9,963,1735,1159,11,10,8,0,0,1,1
996,0,2.8,1,9,0,38,0.2,141,2,19,1504,1456,1887,10,15,16,0,0,1,2
1395,1,2.6,0,9,0,19,0.4,84,5,13,1902,817,2847,10,9,17,1,1,1,3
659,1,1.5,1,10,1,63,0.7,88,7,11,75,1256,1405,10,14,9,1,0,1,0
1998,0,2.4,1,16,1,27,0.8,107,7,10,328,964,1426,12,6,3,0,1,0,1
1351,1,2.6,0,4,0,50,0.9,162,2,6,1439,1610,2583,9,14,2,0,1,1,2
1189,0,2.7,1,12,0,55,0.7,171,1,16,1226,1932,279,14,15,5,0,1,0,1
879,1,1.9,1,9,0,17,0.1,170,7,17,1252,1763,1207,11,5,12,1,1,0,1
1456,1,1.0,1,8,0,9,0.3,156,5,6,151,1199,2000,7,10,11,1,1,0,1
1190,1,1.1,1,16,1,25,0.2,117,2,19,1798,1580,2295,13,16,19,0,1,0,2
1950,0,1.2,1,0,0,14,0.4,122,6,5,71,1636,375,14,14,2,0,1,0,1
1791,1,2.0,0,3,0,30,0.6,196,7,10,224,1234,1931,7,15,18,1,1,0,1
1940,1,0.6,1,3,0,33,0.1,100,4,11,472,1593,1576,18,1,17,1,0,0,1
1691,1,2.1,0,17,1,25,0.4,170,6,15,1920,1238,1110,18,3,13,0,1,1,2
1566,0,1.4,0,8,1,17,0.3,141,3,18,1666,1267,1271,10,5,17,0,0,1,2
784,0,1.2,0,17,1,12,0.7,125,7,18,359,1707,3247,7,17,10,0,0,0,1
896,1,2.7,0,13,0,33,0.5,149,2,10,539,1243,3409,5,10,18,1,1,1,1
511,0,1.7,0,14,0,7,0.5,117,6,15,810,775,703,5,8,4,0,0,1,0
1825,1,0.7,0,5,0,60,0.5,128,5,11,608,732,2191,7,2,19,0,1,1,2
1776,1,2.6,1,9,1,36,1.0,154,5,7,1069,553,1999,8,1,16,0,0,1,2
998,1,0.6,1,14,1,34,0.3,190,7,2,0,756,1251,18,17,16,1,1,0,0
1253,1,2.3,1,3,0,19,0.6,184,1,1,677,589,2198,6,14,17,1,0,1,1
534,1,2.4,0,17,0,38,0.8,196,4,5,1268,1958,3797,13,17,2,1,1,0,2
1226,1,1.4,1,17,1,14,0.6,160,7,15,1242,907,1702,15,14,2,0,0,1,2
1348,1,2.6,1,16,0,11,0.9,199,2,19,1637,1792,3872,12,16,5,1,1,1,3
589,0,1.8,1,11,0,38,0.4,118,6,14,290,865,3351,16,17,14,1,1,0,1
1275,0,1.7,0,6,0,27,0.5,150,4,13,1481,850,1340,17,17,5,1,0,0,2
1104,0,0.6,1,15,1,47,0.2,109,1,1,203,1822,1980,7,10,9,1,0,0,1
1469,0,1.2,0,10,0,18,0.6,100,7,19,1225,1682,2387,11,17,14,1,0,1,2
1521,0,2.8,1,13,0,2,0.4,80,3,17,565,986,2528,8,2,9,0,0,1,2
917,0,1.5,0,2,0,26,0.2,168,4,13,481,1341,441,9,12,15,0,1,1,0
614,0,1.9,0,18,0,35,0.6,111,1,17,1815,1483,2678,8,13,2,0,0,0,2
1116,1,1.8,0,17,1,40,0.6,87,7,1,510,1878,327,13,3,10,0,0,0,0
1719,1,2.0,1,9,1,11,0.2,148,7,0,923,1120,329,15,17,2,0,1,0,1
1325,1,0.7,1,5,1,21,0.7,109,2,19,277,1429,2176,11,4,8,1,1,0,1
1598,1,1.4,0,12,0,8,0.7,194,7,1,1004,900,1620,17,13,14,1,1,0,2
912,0,2.3,1,9,1,57,0.3,87,3,8,15,1928,2456,8,11,16,0,0,1,1
1899,0,1.0,0,17,0,17,0.5,192,7,8,1548,1619,2399,17,6,10,1,0,0,3
1943,1,1.0,0,19,1,38,0.7,98,5,15,355,1069,3892,12,11,17,0,0,0,2
1228,1,0.5,1,15,0,30,0.6,187,1,10,355,1474,2748,6,7,18,0,0,1,1
1800,0,1.6,1,5,1,61,0.5,138,5,5,829,891,3437,11,2,10,1,1,0,2
1520,1,2.7,1,12,1,13,0.4,134,7,11,598,851,1737,15,0,7,0,0,0,1
1260,1,0.6,0,3,1,18,0.6,109,3,2,1101,1305,3131,5,2,13,1,0,0,2
1175,1,1.0,0,13,0,49,0.9,158,1,11,927,1075,3378,12,10,17,0,1,0,2
1917,1,1.3,1,0,0,21,0.7,115,1,0,1090,1276,2680,17,17,16,1,1,1,2
956,0,2.3,0,19,0,27,0.2,134,7,8,858,1132,1020,18,6,8,1,1,0,1
1419,1,2.1,1,4,1,49,0.5,123,3,19,1746,1811,1352,16,8,11,1,0,1,2
691,1,1.5,0,7,0,20,0.9,106,2,5,213,1022,467,18,3,5,1,0,0,0
1238,0,2.4,1,11,0,59,0.2,156,1,10,1720,1225,3759,17,9,4,1,1,1,3
1622,0,2.0,1,1,0,48,1.0,157,3,2,448,661,979,10,17,19,1,0,1,1
1477,1,2.7,0,11,0,13,1.0,180,4,3,964,1158,3495,16,15,2,0,0,0,2
